Movie Name,Rating,Action,Comedy,Drama,Horror,Science Fiction,Mystery,Romance,Music,Animation,Adventure,Documentary,Family,Crime,Fantasy,History,Western
Citizen Nawi,7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chichi no Ijô na Aijô,8.3,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
Surditia,7.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Blitz: London's Longest Night,7.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Business Before Honesty,8.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudis in America,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Franklin and the Tooth Fairy/Franklin Takes the Blame,6.6,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Wear,5.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Migrante,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La trahison,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidden Hero,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bach Cello Suite #4: Sarabande,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Standing on Sacred Ground: Profit and Loss,8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Outside Paradise,9.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"Nowhere, Nobody",4.9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
A Figure to Chase After,8.3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"One Nation, Overweight",8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
How to Get European Men,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Hangover,7.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baby Bible Bashers,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clean Sweep,7.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Chelworth,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 9:04 from Pemberton,6.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nos reimos de la migra (destrampados y mojados),6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kan Kan Men Bhagwan,5.8,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Which Way Home,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La mujer del diablo,4.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Polizeirevier 21,9.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stay Close,6.9,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
